customer_state,orders_count,late_rate,avg_review,late_rate_pct,avg_review_round
CE,1282,0.15366614664586584,3.938087774294671,15.37,3.94
BA,3273,0.14084937366330583,3.9294516327788047,14.08,3.93
RJ,12420,0.13478260869565217,3.9634394593274163,13.48,3.96
ES,2004,0.12225548902195608,4.082406471183013,12.23,4.08
PE,1604,0.10723192019950124,4.0855345911949685,10.72,4.09
SC,3560,0.09775280898876404,4.131050099065949,9.78,4.13
GO,1974,0.08206686930091185,4.102903718797759,8.21,4.1
RS,5382,0.07172054998141955,4.185495898583147,7.17,4.19
DF,2099,0.07098618389709385,4.131641933939684,7.1,4.13
SP,40712,0.05877873845549224,4.246196028060468,5.88,4.25
MG,11423,0.05602731331524118,4.192707415888673,5.6,4.19
PR,4942,0.05018211250505868,4.238259808904249,5.02,4.24
